home_listing,adr_ticker,event_datetime_et,eps_estimate,eps_actual,surprise_pct
BHP.AX,BHP,2003-10-28 16:00:00,0.16,0.17,3.75
BHP.AX,BHP,2003-08-28 02:00:00,0.21,0.18,-14.29
BHP.AX,BHP,2003-05-07 02:00:00,0.14,0.14,2.86
BHP.AX,BHP,2003-02-24 00:00:00,0.28,0.12,-57.14
BHP.AX,BHP,2002-10-30 18:00:00,0.1,0.18,80.0
BHP.AX,BHP,2002-08-07 05:00:00,0.13,0.11,-15.38
BHP.AX,BHP,2002-05-01 07:00:00,0.14,0.14,nan
BHP.AX,BHP,2002-02-14 00:00:00,0.15,0.2,33.33
BHP.AX,BHP,2001-10-26 05:00:00,0.18,0.2,11.11
RY.TO,RY,2026-08-27 08:00:00,4.03,nan,nan
RY.TO,RY,2026-05-28 06:00:00,3.79,3.9,2.82
RY.TO,RY,2026-02-26 06:00:00,3.84,4.08,6.2
RY.TO,RY,2025-12-03 06:00:00,3.55,3.85,8.36
RY.TO,RY,2025-08-27 06:00:00,3.29,3.84,16.81
RY.TO,RY,2025-05-29 06:00:00,3.2,3.12,-2.45
RY.TO,RY,2025-02-27 06:00:00,3.24,3.62,11.56
RY.TO,RY,2024-12-04 06:00:00,3.01,3.07,2.04
RY.TO,RY,2024-08-28 06:00:00,2.95,3.26,10.33
RY.TO,RY,2024-05-30 06:00:00,2.74,2.92,6.43
RY.TO,RY,2024-02-28 06:00:00,2.79,2.85,2.27
RY.TO,RY,2023-11-30 06:00:00,2.62,2.78,5.97
RY.TO,RY,2023-08-24 06:00:00,2.71,2.84,4.87
RY.TO,RY,2023-05-25 06:00:00,2.81,2.65,-5.82
RY.TO,RY,2023-03-01 07:00:00,2.93,3.05,3.93
RY.TO,RY,2022-11-30 06:00:00,2.68,2.78,3.74
RY.TO,RY,2022-08-24 06:00:00,2.68,2.55,-4.94
RY.TO,RY,2022-05-26 19:00:00,2.69,2.99,11.14
RY.TO,RY,2022-02-24 06:00:00,2.72,2.87,5.37
RY.TO,RY,2021-12-01 06:00:00,2.81,2.71,-3.62
RY.TO,RY,2021-08-25 07:00:00,2.71,3.0,10.67
RY.TO,RY,2021-05-27 15:00:00,2.51,2.79,11.27
RY.TO,RY,2021-02-24 07:00:00,2.28,2.69,18.16
RY.TO,RY,2020-12-02 06:00:00,2.08,2.27,9.21
RY.TO,RY,2020-08-26 06:00:00,1.9,2.23,17.15
SHOP.TO,SHOP,2026-08-05 08:00:00,0.4,nan,nan
SHOP.TO,SHOP,2026-05-05 07:00:00,0.33,0.36,8.56
SHOP.TO,SHOP,2026-02-11 07:00:00,0.51,0.48,-5.71
SHOP.TO,SHOP,2025-11-04 07:00:00,0.34,0.34,0.61
SHOP.TO,SHOP,2025-08-06 07:00:00,0.29,0.35,22.15
SHOP.TO,SHOP,2025-05-08 07:00:00,0.26,0.25,-4.47
SHOP.TO,SHOP,2025-02-11 07:00:00,0.43,0.44,1.78
SHOP.TO,SHOP,2024-11-12 07:00:00,0.18,0.64,254.9
SHOP.TO,SHOP,2024-08-07 07:00:00,0.2,0.26,29.05
SHOP.TO,SHOP,2024-05-08 07:00:00,0.17,0.2,17.92
SHOP.TO,SHOP,2024-02-13 07:00:00,0.3,0.34,13.12
SHOP.TO,SHOP,2023-11-02 07:00:00,0.14,0.24,65.76
SHOP.TO,SHOP,2023-08-02 16:00:00,0.05,0.14,181.07
SHOP.TO,SHOP,2023-05-04 07:00:00,-0.04,0.01,127.28
SHOP.TO,SHOP,2023-02-15 16:00:00,-0.02,0.07,479.2
SHOP.TO,SHOP,2022-10-27 07:00:00,-0.07,-0.02,71.76
SHOP.TO,SHOP,2022-07-27 07:00:00,0.03,-0.03,-195.75
SHOP.TO,SHOP,2022-05-05 07:00:00,0.07,0.02,-69.42
SHOP.TO,SHOP,2022-02-16 07:00:00,0.13,0.14,3.53
SHOP.TO,SHOP,2021-10-28 07:00:00,0.12,0.08,-33.37
SHOP.TO,SHOP,2021-07-28 07:00:00,0.1,0.22,132.49
SHOP.TO,SHOP,2021-04-28 07:00:00,0.07,0.2,172.14
SHOP.TO,SHOP,2021-02-17 07:00:00,0.12,0.16,30.9
SHOP.TO,SHOP,2020-10-29 07:00:00,0.05,0.11,123.54
SHOP.TO,SHOP,2020-07-29 07:00:00,nan,0.11,4116.87
HSBA.L,HSBC,2026-08-04 08:00:00,2.33,nan,nan
HSBA.L,HSBC,2026-05-04 22:00:00,2.16,2.2,1.79
HSBA.L,HSBC,2026-02-25 02:00:00,1.8,1.85,2.98
HSBA.L,HSBC,2025-02-18 19:00:00,1.53,0.05,-96.74
HSBA.L,HSBC,2013-08-05 04:00:00,3.1,1.08,-65.13
HSBA.L,HSBC,2012-07-30 04:00:00,2.5,1.2,-52.02
BP.L,BP,2026-08-04 08:00:00,1.78,nan,nan
BP.L,BP,2026-04-28 03:00:00,0.93,1.24,33.25
BP.L,BP,2026-02-10 02:00:00,0.6,0.6,-0.5
BP.L,BP,2025-11-04 02:00:00,0.77,0.85,9.88
BP.L,BP,2025-08-05 02:00:00,0.66,0.9,36.11
BP.L,BP,2025-04-29 02:00:00,0.56,0.53,-5.78
BP.L,BP,2025-02-11 02:00:00,0.45,0.44,-3.03
BP.L,BP,2024-10-29 06:00:00,0.79,0.83,5.66
BP.L,BP,2024-07-30 02:00:00,0.91,1.0,10.41
BP.L,BP,2024-05-07 02:00:00,0.97,0.97,0.44
BP.L,BP,2024-02-06 02:00:00,1.0,1.07,7.48
BP.L,BP,2023-10-31 03:00:00,1.34,1.15,-14.46
BP.L,BP,2023-08-01 02:00:00,1.16,0.89,-23.18
BP.L,BP,2023-05-02 02:00:00,1.42,1.66,17.11
BP.L,BP,2023-02-07 02:00:00,1.65,1.59,-3.51
BP.L,BP,2022-11-01 03:00:00,1.96,2.59,32.01
BP.L,BP,2022-08-02 02:00:00,2.13,2.61,22.73
BP.L,BP,2022-05-03 02:00:00,1.39,1.92,38.02
BP.L,BP,2022-02-08 02:00:00,1.14,1.23,7.54
BP.L,BP,2021-11-02 03:00:00,0.87,0.99,13.53
BP.L,BP,2021-08-03 02:00:00,0.6,0.83,38.05
BP.L,BP,2021-04-27 02:00:00,0.43,0.78,80.56
BP.L,BP,2021-02-02 02:00:00,0.07,0.03,-54.72
BP.L,BP,2020-10-27 03:00:00,-0.05,0.03,157.45
BP.L,BP,2020-08-04 02:00:00,-0.57,-1.98,-245.1
RIO.L,RIO,2027-02-18 15:00:00,nan,nan,nan
RIO.L,RIO,2008-08-26 02:00:00,3.91,4.24,8.51
RIO.L,RIO,2008-04-08 20:00:00,3.13,0.27,-91.44
RIO.L,RIO,2007-09-10 20:00:00,2.67,0.27,-90.06
RIO.L,RIO,2006-09-04 20:00:00,0.98,0.64,-34.58
RIO.L,RIO,2005-02-03 00:00:00,0.6,0.11,-82.6
RIO.L,RIO,2004-07-30 06:00:00,0.75,0.72,-3.36
RIO.L,RIO,2004-02-02 00:00:00,0.57,0.54,-5.49
RIO.L,RIO,2003-07-31 02:00:00,0.58,0.47,-20.34
RIO.L,RIO,2003-01-30 08:00:00,0.63,0.6,-4.19
RIO.L,RIO,2002-07-25 02:00:00,0.59,0.51,-14.11
RIO.L,RIO,2002-01-31 06:00:00,0.56,0.6,6.9
ULVR.L,UL,2027-02-09 07:00:00,nan,nan,nan
ULVR.L,UL,2010-02-04 02:00:00,0.25,0.33,31.82
ULVR.L,UL,2009-11-05 02:00:00,0.42,0.48,16.22
ULVR.L,UL,2009-08-06 02:00:00,0.39,0.36,-7.55
ULVR.L,UL,2009-05-07 02:00:00,0.29,0.33,12.39
ULVR.L,UL,2008-10-30 03:00:00,0.39,0.45,15.26
ULVR.L,UL,2008-02-07 02:00:00,0.35,0.34,-4.6
ULVR.L,UL,2007-02-08 02:00:00,0.33,0.38,13.35
ULVR.L,UL,2006-11-02 00:00:00,0.4,0.3,-23.3
ULVR.L,UL,2006-08-03 02:00:00,0.42,0.41,-2.85
ULVR.L,UL,2006-02-09 02:00:00,0.36,0.14,-62.26
ULVR.L,UL,2005-11-03 02:00:00,0.42,0.36,-13.01
ULVR.L,UL,2005-08-04 02:00:00,0.38,0.4,5.23
ULVR.L,UL,2005-05-06 02:00:00,0.29,0.32,11.59
ULVR.L,UL,2005-02-10 02:00:00,0.31,0.39,27.53
ULVR.L,UL,2004-10-27 02:00:00,0.39,0.46,17.26
ULVR.L,UL,2004-07-28 02:00:00,0.39,0.4,3.69
